LVL,CD,SPD,DMG,ALFA,BETA
1,7.00,5.00,15.00,0,0
1,5.00,10.00,5.00,0,0
1,9.00,15.00,10.00,0,0
2,3.50,8.40,21.00,0,60
2,3.10,20.00,18.67,60,120
2,2.30,20.00,22.00,120,180
2,3.10,16.13,21.00,180,240
2,4.70,28.40,14.00,240,300
2,3.50,16.13,18.67,300,360
3,2.33,11.40,24.00,0,30
3,2.18,20.70,22.67,30,60
3,2.02,30.00,21.33,60,90
3,1.71,30.00,28.17,90,120
3,1.40,30.00,35.00,120,150
3,1.71,26.90,29.50,150,180
3,2.02,23.80,24.00,180,210
3,2.64,32.60,20.00,210,240
3,3.27,41.40,16.00,240,270
3,2.80,32.60,18.67,270,300
3,2.33,23.80,21.33,300,330
3,2.33,17.60,22.67,330,360
4,1.75,13.60,27.00,0,30
4,1.62,26.80,24.35,30,60
4,1.48,40.00,21.70,60,90
4,1.22,40.00,22.63,90,120
4,0.95,40.00,23.56,120,150
4,1.22,35.60,23.56,150,180
4,1.48,31.20,23.56,180,210
4,2.02,42.40,20.78,210,240
4,2.55,53.60,18.00,240,270
4,2.15,42.40,19.85,270,300
4,1.75,31.20,21.70,300,330
4,1.75,22.40,24.35,330,360
5,1.40,15.00,30.00,0,30
5,1.28,32.50,28.33,30,60
5,1.16,50.00,26.67,60,90
5,0.92,50.00,28.94,90,120
5,0.68,50.00,31.22,120,150
5,0.92,44.17,30.61,150,180
5,1.16,38.33,30.00,180,210
5,1.64,51.67,25.00,210,240
5,2.12,65.00,20.00,240,270
5,1.76,51.67,23.33,270,300
5,1.40,38.33,26.67,300,330
5,1.40,26.67,28.33,330,360
6,1.17,15.60,33.00,0,30
6,1.06,37.80,30.83,30,60
6,0.94,60.00,28.67,60,90
6,0.72,60.00,30.33,90,120
6,0.50,60.00,32.00,120,150
6,0.72,52.60,32.00,150,180
6,0.94,45.20,32.00,180,210
6,1.39,60.40,27.00,210,240
6,1.83,75.60,22.00,240,270
6,1.50,60.40,25.33,270,300
6,1.17,45.20,28.67,300,330
6,1.17,30.40,30.83,330,360
7,1.00,15.40,36.00,0,20
7,0.93,33.60,31.11,20,40
7,0.86,51.80,26.22,40,60
7,0.79,70.00,21.33,60,80
7,0.65,70.00,19.56,80,100
7,0.51,70.00,17.78,100,120
7,0.37,70.00,16.00,120,140
7,0.51,63.93,18.67,140,160
7,0.65,57.87,21.33,160,180
7,0.79,51.80,24.00,180,200
7,1.07,63.00,24.00,200,220
7,1.35,74.20,24.00,220,240
7,1.63,85.40,24.00,240,260
7,1.42,74.20,23.11,260,280
7,1.21,63.00,22.22,280,300
7,1.00,51.80,21.33,300,320
7,1.00,39.67,26.22,320,340
7,1.00,27.53,31.11,340,360
8,0.88,14.40,39.00,0,20
8,0.81,36.27,33.78,20,40
8,0.74,58.13,28.56,40,60
8,0.68,80.00,23.33,60,80
8,0.54,80.00,21.56,80,100
8,0.41,80.00,19.78,100,120
8,0.28,80.00,18.00,120,140
8,0.41,72.71,20.67,140,160
8,0.54,65.42,23.33,160,180
8,0.68,58.13,26.00,180,200
8,0.94,70.22,26.00,200,220
8,1.21,82.31,26.00,220,240
8,1.48,94.40,26.00,240,260
8,1.28,82.31,25.11,260,280
8,1.08,70.22,24.22,280,300
8,0.88,58.13,23.33,300,320
8,0.88,43.56,28.56,320,340
8,0.88,28.98,33.78,340,360
9,0.78,12.60,42.00,0,20
9,0.71,38.40,35.22,20,40
9,0.65,64.20,28.44,40,60
9,0.59,90.00,21.67,60,80
9,0.46,90.00,17.44,80,100
9,0.33,90.00,13.22,100,120
9,0.20,90.00,9.00,120,140
9,0.33,81.40,15.33,140,160
9,0.46,72.80,21.67,160,180
9,0.59,64.20,28.00,180,200
9,0.84,77.00,28.00,200,220
9,1.10,89.80,28.00,220,240
9,1.36,102.60,28.00,240,260
9,1.16,89.80,25.89,260,280
9,0.97,77.00,23.78,280,300
9,0.78,64.20,21.67,300,320
9,0.78,47.00,28.44,320,340
9,0.78,29.80,35.22,340,360
10,0.70,10.00,45.00,0,20
10,0.64,40.00,37.78,20,40
10,0.58,70.00,30.56,40,60
10,0.51,100.00,23.33,60,80
10,0.39,100.00,18.89,80,100
10,0.26,100.00,14.44,100,120
10,0.14,100.00,10.00,120,140
10,0.26,90.00,16.67,140,160
10,0.39,80.00,23.33,160,180
10,0.51,70.00,30.00,180,200
10,0.76,83.33,30.00,200,220
10,1.01,96.67,30.00,220,240
10,1.26,110.00,30.00,240,260
10,1.07,96.67,27.78,260,280
10,0.89,83.33,25.56,280,300
10,0.70,70.00,23.33,300,320
10,0.70,50.00,30.56,320,340
10,0.70,30.00,37.78,340,360
